Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Camp Name,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Protection Event Context,Victim of Violence,Survivor or Victim Sex,Survivor or Victim Minor,Number of Attacks on Camps Reporting Destruction,Number of Attacks on Camps Reporting Damaged,Camp Resident Killed,Camp Resident Injured,Camp Residents Kidnapped,Camp Residents Arrested,Camp Residents Targeted with CRSV,Service Provider Killed,Service Provider Kidnapped,Service Provider Arrested,Service Provider Targeted with CRSV,SiND ID
2024-12-04,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Multiple,0,1,8,1,0,0,0,0,0,0,0,88163
2024-12-03,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Multiple,0,1,1,1,0,0,0,0,0,0,0,88165
2024-12-02,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Multiple,"Militia, Rapid Support Forces",Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,88201
2024-12-02,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,Multiple,Multiple,0,1,8,13,0,0,0,0,0,0,0,87939
2024-12-01,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Multiple,"Militia, Rapid Support Forces",Shelling,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,1,0,0,0,0,0,0,0,0,0,88196
2024-12-01,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,87016
2024-12-01,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,87014
2024-12-01,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,1,0,0,0,0,0,0,0,0,0,88157
2024-11-29,,Sudan,SDN,South Darfur State,12,25,(2) 25 km Precision ,Kalma Refugee Camp,NSA,Rapid Support Forces,Aerial Bomb: Drone,Airstrike/Shelling,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,86808
2024-11-25,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Shelling,Airstrike/Shelling,Camp Resident,No Information,Adult,0,0,7,1,0,0,0,0,0,0,0,88426
